INFO 2019-07-23 12:24:34,101 basehttp 124 "OPTIONS /meiduo_admin/statistical/day_active/ HTTP/1.1" 200 0
INFO 2019-07-23 12:24:34,122 basehttp 124 "OPTIONS /meiduo_admin/statistical/day_orders/ HTTP/1.1" 200 0
INFO 2019-07-23 12:24:34,130 basehttp 124 "OPTIONS /meiduo_admin/statistical/goods_day_views/ HTTP/1.1" 200 0
WARNING 2019-07-23 12:24:34,168 base 152 Not Found: /meiduo_admin/statistical/total_count/
WARNING 2019-07-23 12:24:34,175 base 152 Not Found: /meiduo_admin/statistical/day_increment/
WARNING 2019-07-23 12:24:34,212 basehttp 124 "GET /meiduo_admin/statistical/total_count/ HTTP/1.1" 404 10701
WARNING 2019-07-23 12:24:34,213 basehttp 124 "GET /meiduo_admin/statistical/day_increment/ HTTP/1.1" 404 10707
WARNING 2019-07-23 12:24:34,222 base 152 Not Found: /meiduo_admin/statistical/day_orders/
WARNING 2019-07-23 12:24:34,223 basehttp 124 "GET /meiduo_admin/statistical/day_orders/ HTTP/1.1" 404 10698
WARNING 2019-07-23 12:24:34,264 base 152 Not Found: /meiduo_admin/statistical/day_active/
WARNING 2019-07-23 12:24:34,277 basehttp 124 "GET /meiduo_admin/statistical/day_active/ HTTP/1.1" 404 10698
WARNING 2019-07-23 12:24:34,276 base 152 Not Found: /meiduo_admin/statistical/month_increment/
WARNING 2019-07-23 12:24:34,285 basehttp 124 "GET /meiduo_admin/statistical/month_increment/ HTTP/1.1" 404 10713
WARNING 2019-07-23 12:24:34,285 base 152 Not Found: /meiduo_admin/statistical/goods_day_views/
WARNING 2019-07-23 12:24:34,316 base 152 Not Found: /meiduo_admin/statistical/day_orders/
WARNING 2019-07-23 12:24:34,325 basehttp 124 "GET /meiduo_admin/statistical/day_orders/ HTTP/1.1" 404 10698
WARNING 2019-07-23 12:24:34,323 basehttp 124 "GET /meiduo_admin/statistical/goods_day_views/ HTTP/1.1" 404 10713
WARNING 2019-07-23 12:24:34,322 base 152 Not Found: /meiduo_admin/statistical/day_active/
